debate_name,debate_section,speaker,speech,speaking_time_seconds
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Elizabeth Warren,"Look, I have said many times before, we are all responsible for our supporters. And we need to step up, that’s what leadership is all about. But the way we are going to lead this country and beat Donald Trump is going to be with a candidate who has rock solid values and who actually gets something done. When Mayor Bloomberg was busy blaming African Americans and Latinos for the housing crash of 2008, I was right here in Las Vegas, literally just a few blocks down the street holding hearings on the banks that were taking away homes from millions of families.",39.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Elizabeth Warren,"That’s when I met Mr. Estrada, one of your neighbors. He came in to testify and he said he thought he’d done everything right with Wells Fargo. But what had happened? They took away his house in a matter of weeks. This man stood there and cried while he talked about what it was like to tell his two little daughters that they might not be in their elementary schools, that they might be living out of their van. I spent the next years making sure that would never happen again. Wall Street fought us every inch of the way on a consumer agency. They lost and I won. We need a candidate with unshakeable values and a candidate who can actually get something done for working people. That’s why I’m in this race-",45.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Hallie Jackson,"Senator, thank you.",0.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Elizabeth Warren,And that’s how I’ll beat Donald Trump.,1.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Hallie Jackson,Senator Sanders.,2.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Bernie Sanders,"We have over 10.6 million people on Twitter and 99.9% of them are decent human beings, are working people, are people who believe in justice, compassion and love. And if there are a few people who make ugly remarks, who attack trade union leaders, I disowned those people, they are not part of our movement. But let me also say, what I hope my friends up here will agree with, is that if you look at the wild West of the internet, talk to some of the African American women on my campaign, talk to Senator Nina Turner, talk to others and find the vicious racist, sexist attacks that are coming their way as well. So I would hope that all of us understand that we should do everything we possibly can to end the viciousness and ugliness on the internet. Our campaign is about issues. It’s about fighting for the working families and the middle class. It is not about vicious attacks on other people.",70.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Pete Buttigieg,"Senator, when you say that you disown these attacks and you didn’t personally direct them, I believe you.",5.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Bernie Sanders,Well thank you.,1.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Pete Buttigieg,"But at a certain point you got to ask yourself, why did this pattern arise? Why is it especially the case among your supporters that this happens?",7.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Bernie Sanders,I don’t think it is especially the case by the way-,2.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Pete Buttigieg,That’s just not true. People-,3.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Bernie Sanders,"Pete if you want to talk to some of the women on my campaign, what you will see is the most ugly, sexist, racist attacks that are… I won’t even describe them here, they’re so disgusting. And let me say something else about this, not being too paranoid. All of us remember 2016 and what we remember his efforts by Russians and others to try to interfere in our election and divide us up. I’m not saying that’s happening, but it would not shock me. I saw some of those tweets regarding the Culinary Workers Union. I have a 30 year, 100% pro-union voting record. Do you think I would support or anybody supports me, would be attacking union leaders? It’s not thinkable.",42.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Pete Buttigieg,"But leadership is about what you draw out of people. It’s about how you inspire people to act. And right now we’re in this toxic political environment. Leadership isn’t just about policy. I think, at least in broad terms, we’re largely pulling in the same direction on policy. But leadership is also about how you motivate people to treat other people and I think you have to accept some responsibility and ask yourself what it is about your campaign and in particular that seems to be motivating this behavior more than others? Because in order to turn the page-",33.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Amy Klobuchar,"I have an idea. I have an idea of how we can stop sexism on the internet. We could nominate a woman for candidate for President of the United States. I think that might go a long way, if we showed our stuff as a party. And the other thing I’m going to talk about is really what is at the core of this issue between Senator Sanders and the Culinary Union. And that is this, these are hardworking people. Housekeepers, like Elizabeth and I met with last night, who have healthcare plans that have been negotiated over time, sweat and blood. And that is the truth for so many Americans right now-",37.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Hallie Jackson,Senator thank you.,1.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Amy Klobuchar,There are 149 million Americans that would lose their current health insurance under Senator Sanders’ bill.,7.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Hallie Jackson,Senator thank you.,0.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Amy Klobuchar,That’s what it says on page eight and I don’t think we should forget that.,3.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Hallie Jackson,"On that note, I want to turn it over to my colleague Chuck Todd.",2.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Chuck Todd,"Senator Sanders, I’m going to stay on this topic, on this issue with the Culinary Union. Obviously their leaders are warning their members about that your health care plan will take away their healthcare plan, take away private insurance completely. There are some Democrats who like you a lot, but worry that this plan, Medicare-for-all, is going to take away private insurance and that it goes too far. Are they right?",27.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Bernie Sanders,"No. Let me be very clear, two points. For a hundred years, from Teddy Roosevelt to Barack Obama, this country has been talking about the need to guarantee health care for people. And yet today, despite spending twice as much per capita, Chuck, twice as much as any other major country on earth, we got 87 million who are uninsured or under insured. We got over 60,000 people who die every year because they don’t get to a doctor on time. We’re getting ripped off outrageously by the greed and corruption of the pharmaceutical industry, which in some cases charges us 10 times more for the same drugs because of their price fixing. 500,000 people go bankrupt every year because they can’t afford medical bills. So let me be very clear, to my good friends in the Culinary Workers Union, a great union, I will never sign a bill that will reduce the health care benefits they have. We will only expand it, for them, for every union in America and for the working class of this country.",69.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Chuck Todd,"Senator Warren, you were all in on Medicare-for-all and then you have since came up with a transition plan. Is it because of the impact on unions?",9.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Elizabeth Warren,"So I want to be clear. I’ve been to the Culinary Unions’ healthcare facilities, they’re terrific. You don’t want to shut them down, you want to expand them. You want to see them all across Nevada and all across this country. But we need to get everybody’s healthcare plan out here. Mayor Buttigieg really has a slogan that was thought up by his consultants, to paper over a thin version of a plan that would leave millions of people unable to afford their healthcare. It’s not a plan, it’s a PowerPoint. And Amy’s plan is even less, it’s like a Post-it Note, insert plan here. Bernie has started very much, has a good start.",46.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Elizabeth Warren,"But instead of expanding and bringing in more people to help, instead his campaign relentlessly attacks everyone who asks a question or tries to fill in details about how to actually make this work. And then his own advisor’s say, “Eh, probably won’t happen anyway.” Look, healthcare is a crisis in this country. My approach to this is we need as much help for as many people as quickly as possible and bring in as many supporters as we can. And if we don’t get it all the first time, take the win and come back into the fight to ask for more.",41.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Chuck Todd,"I promise guys, I’m going to get everybody in.",1.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Elizabeth Warren,People need our help on this.,1.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Chuck Todd,"I got you. Mayor Buttigieg, I think she named checked you first. I’ll let you go first.",5.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Bernie Sanders,She name checked me second.,4.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Chuck Todd,"Yes. Well, okay. I think Amy’s second.",2.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Pete Buttigieg,"I’m more of a Microsoft Word guy. And if you look at my plan, I don’t know if there are any PowerPoints on it, but you can definitely find the document on peteforamerica.com. And you’ll see that it is a plan that solves the problem, makes sure there is no such thing as an uninsured American and does it without kicking anybody off the plan that they have. This idea that the union members don’t know what’s good for them is the exact kind of condescension and arrogance that makes people skeptical of the policies we’ve been putting forward.",29.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Pete Buttigieg,"Here we have a plan that the majority of Americans support. Do you realize how historic that is? That the American people are ready in a way, far beyond what was true even 10 years ago and what was available to President Obama at the time. There’s a powerful American majority ready to undertake the biggest, most progressive reform we’ve had in healthcare in 50 years, just so long as we don’t force it on anybody. What is wrong with that?",26.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Elizabeth Warren,Can I respond to that? [crosstalk 00:20:20],0.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Chuck Todd,"Let me get Senator Klobuchar and then I’ll have you respond. All right, Senator Klobuchar.",3.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Bernie Sanders,[inaudible 00:20:24].,2.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Chuck Todd,"I think the Post-it Note came first, Senator. [crosstalk 00:20:28]",4.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Amy Klobuchar,"I must say personal offense since post it notes were invented in my state. [crosstalk 00:00:20:38]. Okay. So my plan is a public option and according to all the studies out there, it would reduce premiums for 12 million people immediately. It would expand coverage for about that same number. It is a significant thing, it is what Barack Obama wanted to do from the very beginning. And the way I look at it since we’re in Vegas, when it comes to your plan, Elizabeth and Bernie’s on Medicare-for-all, you don’t put your money on a number that’s not even on the wheel.",39.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Amy Klobuchar,"And why is Medicare-for-all not on the wheel? Why is it not on the wheel? Because two thirds of the democratic Senators are not even on that bill, because a bunch of the new House members that got elected see the problems with blowing up the Affordable Care Act. They see it right in front of them. And the truth is that when you see some troubled waters, you don’t blow up a bridge, you build one. And so we need to improve the Affordable Care Act, not blow it up.",28.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Chuck Todd,"All right, Senator Sanders.",0.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Elizabeth Warren,Can I just respond to these two?,0.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Chuck Todd,I will. You name checked three of them. Let me get Senator Sanders in there.,9.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Bernie Sanders,I am also a top-,0.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Chuck Todd,You were.,0.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Elizabeth Warren,Okay.,1.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Chuck Todd,"Go ahead, Senator Sanders. We’ll get you in Liz. We got a lot of people in here that got hit. [crosstalk 00:21:50]",3.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Bernie Sanders,"It’s my turn, yeah?",2.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Chuck Todd,Yes sir.,1.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Bernie Sanders,"Okay. Somehow or another, Canada can provide universal health care to all their people at half the cost. UK can do it, France can do, Germany did. All…",11.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Bernie Sanders,"… half the cost. UK can do it. France can do it. Germany could. All of Europe can do it. Gee whiz. Somehow or another, we are the only major country on earth that can’t do it. Why is that? And I’ll tell you why. It’s because last year the healthcare industry made $100 billion in profits. Pharmaceutical industry, top six companies, $69 billion in profit. And those CEOs are contributing to Pete’s campaign and other campaigns. Up here-",31.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Chuck Todd,Let’s clear this up right now.,0.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Bernie Sanders,"Maybe it is finally time that we said as a nation, “Enough is enough. The function of a rational healthcare system is not to make the pharmaceutical industry and the drug companies rich. It is to provide healthcare to all people as a human right, not a privilege.” No premiums.",20.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Chuck Todd,"Mr. Vice President, we get it.",2.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Bernie Sanders,No copayments. No deductibles.,2.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Chuck Todd,"Go ahead. [crosstalk 00:22:59] Mr. Vice President, center one.",3.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Joe Biden,"I’m the only one in this stage that actually got anything done on healthcare. I’m the guy the president turned to and said, “Go get the votes for Obamacare.” And I notice what everybody’s talking about is the plan that I first introduced. That is to go and add to Obamacare, provide a public option, a Medicare like option it cost and increase the subsidies. It costs a lot of money. It cost $750 billion over 10 years, but I pay for it by making sure that Mike and other people pay at the same tax rate their secretary pays at. That’s how we get it paid, number one.",34.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Joe Biden,"Number two, you know from the moment we passed that signature legislation, Mike called it a disgrace. Number one. Number two, Trump decided to get rid of it. And number three, my friends here came up with another plan. But they don’t tell you when you ask Bernie how much it costs, the last time he said that, if he goes on your show, he said, “We’ll find out. We’ll find out how,” or something to that effect. It cost over 35 trillion bucks. Let’s get real.",27.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Chuck Todd,"Senator Warren, you get the final word on this. We’re going to move to another question. Go ahead, Senator Warren.",4.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Bernie Sanders,And your plan costs $50 trillion.,1.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Elizabeth Warren,So I actually-,1.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Michael Bloomberg,What am I? Chicken liver?,1.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Elizabeth Warren,"So I actually took a look at the plans that are posted. Mayor Buttigieg, there are four expenses that families pay, right? Premiums, deductibles, copays, and uncovered medical expenses. Mayor Buttigieg says he will put a cap only on the premiums.",17.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Pete Buttigieg,That’s not true.,0.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Elizabeth Warren,"And that means families are going to pick up the rest of the costs. Amy, I looked online at your plan. It’s two paragraphs. Families are suffering and they need a plan.",13.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Amy Klobuchar,"Okay, that’s it.",0.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Elizabeth Warren,"You can’t simply stand here and trash an idea to give healthcare coverage to everyone without having a realistic plan of your own. And if you’re not going to own up to the fact either that you don’t have a plan or that your plan is going to leave people without healthcare coverage, full coverage, then you need to say so. I just want to stay on this [crosstalk 00:25:01] was in Reno when I met a man who said he had diabetes. He gets his insulin through the VA, but his sister and his daughter also have diabetes. No way to pay for their insulin. Three human beings right here in Nevada who are struggling. They share one insulin prescription. This should not happen [crosstalk 00:25:24]",44.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Chuck Todd,"Okay. Very quickly. Mayor Bloomberg, is Vice President Biden right and you weren’t a fan of Obamacare?",5.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Michael Bloomberg,I am a fan of Obamacare. At the beginning –,2.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Joe Biden,Since when Mr. Mayor?,2.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Michael Bloomberg,"Mr Vice President, I just checked the record because you’d said one time that I was not. In ’09 I testified and gave a speech before the mayor’s conference in Washington advocating it and trying to get all the mayors to sign on. And I think at that time I wrote an article praising Obamacare. It was either in the New York Post or the Daily News, so the facts are, I was [crosstalk 00:25:56]",24.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Joe Biden,Didn’t you call it [crosstalk 00:25:56],0.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Michael Bloomberg,"Let me finish. Thank you. I was in favor of it. I thought it didn’t do … go as far as we should. What Trump has done to this is a disgrace. The first thing we’ve got to do is get the White House and bring back those things that will left and then find a ways to expand it. Another public option to having some rules about capping charges. All of those things. We shouldn’t just walk away and start something that is totally new, untried. People [crosstalk 00:26:27]",31.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Chuck Todd,"Okay. Vice President Biden, go ahead.",2.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Joe Biden,"The mayor said when we passed it, the signature piece of this administration, it’s a disgrace. They’re the exact words. It was a disgrace. Look it up. Check it out. It was a disgrace. [crosstalk 00:26:42] covered by the way, that plan you do not have surprise billing. You bring down drug prices. People are not … Give people all the things we’re just talking about. I guess you’re not got all the time to do it, but if I get a chance to talk [crosstalk 00:26:55]",25.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Chuck Todd,"Thank you, sir. Lester.",1.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Lester Holt,"All right, Mayor Bloomberg [crosstalk 00:26:59]",4.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Female,We haven’t responded to [crosstalk 00:26:59] allegation.,0.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Lester Holt,"… at the beginning of this debate, you took some incoming fire on this next topic, so let’s get into it. In 2015 this is how you described your policing policy as mayor quote, “We put all the cops in the minority neighborhoods.” And you explain that is quote, “Because that’s where all the crime is.”",16.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Lester Holt,"You went on to say, “And the way you should get the guns out of the kids’ hands is to throw them against the wall and frisk them.” You’ve apologized for that policy, but what does that kind of language say about how you view people of color or people in minority neighborhoods?",14.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Michael Bloomberg,"Well, if I go back and look at my time in office, the one thing that I’m really worried about, embarrassed about, was how it turned out with Stop and Frisk. When I got into office, there was 650 murders a year in New York City. I thought that my first responsibility was to give people the right to live. That’s the basic right of everything. And we started, we adopted a policy which had been in place. The policy that all big police departments use of stop and frisk.",36.0
"Democratic Debate Transcript: Las Vegas, Nevada Debate",Part 1,Michael Bloomberg,"What happened, however was it got out of control. And when we discovered, I discovered, that we were doing many, many, too many stop and frisks, we cut 95% of it out. I’ve sat down with a bunch of African-American clergy and business people to talk about this, to try to learn. I’ve talked to a number of kids who’d been stopped. I was trying to understand how we change our policies so we can keep the city safe because the crime rate did go from 650, 50% down, to 300. And we have to keep lid on crime, but we cannot go out and stop people indiscriminately. That was what was happening.",44.0
